architecture,gender,ar,bg,bn,cs,da,de,el,en,es,et,fa,fi,fr,ga,hi,hr,hu,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,sw,th,tk,tr,uk,vi,zh,zh-cn
facebook/mms-tts-ukr,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12737520541985267,,,
facebook/mms-tts-ukr,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11864124146210273,,,
fast_pitch,female,,,,,,,,0.2987073747278653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast_pitch,male,,,,,,,,0.3277607564134921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-tts,female,,,,,,,,0.06201913252690547,,,0.015063676958935521,,,,,,,0.41287713980945023,,,,,,,,,,,,,,,,,0.0044962376329116425,9.706669073382632e-06,,,
glow-tts,male,,,,,,,,0.07349092636414772,,,0.01238510884005789,,,,,,,0.30005413738077685,,,,,,,,,,,,,,,,,0.008220854665464303,0.011238379549582905,,,
glow-tts,mix,,,,,,,,,,,,,,,,,,0.2667777466823821,,,,,,,,,,,,,,,,,,,,,
griffin_lim,female,,,,,,0.9862105814255624,,0.994092733686557,0.998956055722685,,,,0.9847812616174165,,,,,0.9778394632669817,,,,,,,0.9887983924643052,,,0.9947488535696001,,,,,,,,0.9870320657047175,,,
griffin_lim,male,,,,,,0.9959064222557444,,0.9894985628539118,0.9979809778141188,,,,0.9825184354667927,,,,,0.9814201570645553,,,,,,,0.9955705037166503,,,0.9964809420861696,,,,,,,,0.9816568470538896,,,
griffin_lim,mix,,,,,,0.9919860111314709,,,0.9962368858849397,,,,0.9999381966061063,,,,,0.9803176547367923,,,,,,,,,,,,,,,,,,,,,
jenny,female,,,,,,,,0.9500287325949599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jenny,male,,,,,,,,0.9608176616020501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft/speecht5_tts,female,,,,,,,,0.04396665016329605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft/speecht5_tts,male,,,,,,,,0.03760015821710787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neural_hmm,female,,,,,,,,0.3008239375556234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neural_hmm,male,,,,,,,,0.3181651043100233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
